#Application,2.0,2.2,2.3,2.4,2.4.3,2.5,2.6,2.7,2.7.2,3.0,3.1,3.2,3.3.0,3.5.0,3.6.0,Files
portage,50.86,52.28,52.28,71.90,71.90,80.22,99.84,99.84,99.84,99.84,99.84,99.84,100.00,100.00,100.00,637
pygame,82.40,89.14,89.14,94.76,94.76,99.25,99.63,99.63,99.63,90.64,90.64,90.64,91.01,91.01,91.01,267
pyobjc,54.28,54.65,54.65,92.38,92.38,98.21,98.95,99.63,99.63,97.69,97.69,97.69,98.79,98.79,98.79,1903
pyramid,43.04,43.26,43.26,57.39,57.39,87.17,99.78,100.00,100.00,99.35,99.35,99.35,99.78,99.78,99.78,460
Pyro4,26.40,27.92,27.92,32.49,32.49,53.81,87.31,100.00,100.00,97.46,97.97,97.97,100.00,95.94,95.94,197
python-api,45.51,46.07,46.07,70.79,70.79,89.89,95.51,100.00,100.00,98.88,98.88,98.88,100.00,100.00,100.00,178
quodlibet,33.10,34.14,34.14,45.34,45.34,76.90,93.45,100.00,100.00,71.90,71.90,71.90,98.45,98.45,98.45,580
sabnzbd,50.00,54.24,54.24,72.03,72.03,94.07,100.00,100.00,100.00,63.56,63.56,63.56,69.49,69.49,69.49,118
sage,32.04,34.17,34.17,52.23,52.23,87.35,92.89,99.95,99.95,94.17,94.22,94.22,99.95,99.95,99.95,2110
scikit-image,36.89,39.11,39.11,52.22,52.22,97.78,99.56,99.78,99.78,99.11,99.11,99.11,100.00,100.00,100.00,450
scikit-learn,45.52,48.90,48.90,59.47,59.47,92.80,99.56,100.00,100.00,96.62,96.62,96.62,99.56,99.56,99.56,681
sympy,31.38,32.55,32.55,62.67,62.67,82.60,89.54,100.00,100.00,96.66,96.75,96.75,100.00,100.00,100.00,1109
tg2,42.03,43.48,43.48,60.87,60.87,82.61,100.00,100.00,100.00,100.00,100.00,100.00,100.00,100.00,100.00,138
tornado,26.67,26.67,26.67,35.00,35.00,65.83,99.17,99.17,99.17,77.50,77.50,77.50,95.83,95.00,95.00,120
trac,42.90,44.79,44.79,49.21,49.21,70.35,83.60,100.00,100.00,74.76,74.76,74.76,94.32,94.01,94.01,317
tryton,41.32,42.98,42.98,49.59,49.59,90.91,91.74,100.00,100.00,84.30,84.30,84.30,87.60,87.60,87.60,121
twisted,54.64,55.71,55.71,61.70,61.70,71.07,98.75,99.73,99.73,88.57,88.84,88.84,99.11,98.93,98.93,1120
veusz,7.45,7.45,7.45,8.07,8.07,79.50,100.00,100.00,100.00,91.93,91.93,91.93,100.00,100.00,100.00,161
VisTrails,64.26,65.17,65.17,83.08,83.08,97.90,99.50,99.50,99.50,69.47,69.67,69.67,69.97,69.97,69.97,999
vpython-wx,70.87,74.27,74.27,74.27,74.27,94.66,97.57,97.57,97.57,84.95,84.95,84.95,84.95,84.95,84.95,206
web2py,60.65,61.90,61.90,67.17,67.17,84.21,99.75,99.75,99.75,87.97,87.97,87.97,92.98,92.73,92.73,399
wxPython,90.03,92.21,92.21,96.04,96.04,99.54,99.93,99.93,99.93,62.55,63.08,63.08,72.39,72.39,72.13,1514
Zope,66.35,66.35,66.35,75.32,75.32,79.81,99.68,100.00,100.00,91.35,91.35,91.35,100.00,100.00,99.68,312
